candidate_id,category,years_experience,candidate_skills,job_requirements,matched_skills_count,match_score,target_salary,success_index,demographic_group,resume_text_snippet
CAND-0001,Engineering,1.4,"{""TypeScript"": 94, ""Docker"": 65, ""JavaScript"": 97, ""AWS"": 87, ""React"": 62}","{""Node.js"": 86, ""TypeScript"": 89, ""PostgreSQL"": 70}",1,45.0,113000,47.7,Group_D,"Experienced Engineering specialist with 1.4 years working with TypeScript, Docker, JavaScript, AWS, React."
CAND-0002,Product,7.3,"{""Agile"": 77, ""Scrum"": 69, ""Product Strategy"": 73, ""Roadmapping"": 81, ""SaaS"": 66}","{""Scrum"": 81, ""Agile"": 89, ""SaaS"": 78}",3,87.8,171000,87.2,Group_A,"Experienced Product specialist with 7.3 years working with Agile, Scrum, Product Strategy, Roadmapping, SaaS."
CAND-0003,Design,2.1,"{""Wireframing"": 72, ""HTML/CSS"": 64, ""Design Systems"": 62, ""User Research"": 74, ""Prototyping"": 78}","{""Wireframing"": 82, ""UI/UX"": 78, ""Figma"": 84}",1,45.0,118000,45.6,Group_C,"Experienced Design specialist with 2.1 years working with Wireframing, HTML/CSS, Design Systems, User Research, Prototyping."
CAND-0004,Infrastructure,3.9,"{""Docker"": 70, ""CI/CD"": 89, ""Python"": 84, ""AWS"": 77, ""Prometheus"": 95}","{""AWS"": 71, ""Kubernetes"": 80, ""Docker"": 82}",2,54.5,134000,53.4,Group_C,"Experienced Infrastructure specialist with 3.9 years working with Docker, CI/CD, Python, AWS, Prometheus."
CAND-0005,Product,10.2,"{""Wireframing"": 95, ""Product Strategy"": 94, ""SaaS"": 76, ""Scrum"": 97, ""Analytics"": 87, ""User Research"": 97}","{""User Research"": 85, ""Product Strategy"": 72, ""Scrum"": 71, ""Analytics"": 73}",4,85.1,190000,81.3,Group_D,"Experienced Product specialist with 10.2 years working with Wireframing, Product Strategy, SaaS, Scrum, Analytics, User Research."
CAND-0006,Analytics,1.9,"{""Machine Learning"": 67, ""PowerBI"": 94, ""Data Modeling"": 77, ""Tableau"": 81, ""Statistics"": 67, ""SQL"": 78}","{""Python"": 86, ""PowerBI"": 75, ""SQL"": 86, ""Tableau"": 73}",3,63.7,124000,62.4,Group_B,"Experienced Analytics specialist with 1.9 years working with Machine Learning, PowerBI, Data Modeling, Tableau, Statistics, SQL."
CAND-0007,Product,6.2,"{""Agile"": 61, ""Analytics"": 67, ""SaaS"": 83, ""Roadmapping"": 79}","{""Agile"": 72, ""Product Strategy"": 72, ""Analytics"": 85}",2,63.1,154000,65.9,Group_B,"Experienced Product specialist with 6.2 years working with Agile, Analytics, SaaS, Roadmapping."
CAND-0008,Product,10.2,"{""Analytics"": 73, ""Wireframing"": 94, ""Scrum"": 72, ""Roadmapping"": 79}","{""User Research"": 73, ""Roadmapping"": 77, ""Analytics"": 77, ""Scrum"": 72}",3,69.5,184000,69.5,Group_B,"Experienced Product specialist with 10.2 years working with Analytics, Wireframing, Scrum, Roadmapping."
CAND-0009,Analytics,4.1,"{""Statistics"": 74, ""Data Modeling"": 64, ""SQL"": 62}","{""SQL"": 85, ""Machine Learning"": 76, ""Python"": 87, ""Tableau"": 74}",1,45.0,132000,48.7,Group_D,"Experienced Analytics specialist with 4.1 years working with Statistics, Data Modeling, SQL."
CAND-0010,Product,12.0,"{""Roadmapping"": 86, ""Agile"": 89, ""Scrum"": 63, ""Wireframing"": 66, ""SaaS"": 63, ""Product Strategy"": 85}","{""User Research"": 76, ""Scrum"": 87, ""Agile"": 84, ""Product Strategy"": 74, ""Analytics"": 83}",3,59.8,193000,59.8,Group_A,"Experienced Product specialist with 12.0 years working with Roadmapping, Agile, Scrum, Wireframing, SaaS, Product Strategy."
CAND-0011,Design,12.3,"{""Figma"": 60, ""HTML/CSS"": 65, ""Design Systems"": 75}","{""Prototyping"": 76, ""Wireframing"": 82, ""HTML/CSS"": 71}",1,45.0,189000,43.4,Group_D,"Experienced Design specialist with 12.3 years working with Figma, HTML/CSS, Design Systems."
CAND-0012,Infrastructure,14.0,"{""Python"": 69, ""Linux"": 72, ""AWS"": 78, ""Ansible"": 73, ""Prometheus"": 63, ""Terraform"": 97}","{""Prometheus"": 71, ""Kubernetes"": 88, ""AWS"": 85, ""CI/CD"": 86, ""Ansible"": 86}",3,62.2,208000,65.0,Group_A,"Experienced Infrastructure specialist with 14.0 years working with Python, Linux, AWS, Ansible, Prometheus, Terraform."
